player_id,name,last_season,current_club_id,country_of_birth,age,sub_position,position,foot,height_in_cm,current_club_domestic_competition_id,current_club_name
165885,Paolo Frascatore,2013,12,Italy,31,Left-Back,Defender,left,187.0,IT1,AS Roma
166275,Grigoriy Morozov,2020,28095,Russia,28,Left-Back,Defender,right,184.0,RU1,FK Ufa
167105,Lukas Lerager,2022,190,Denmark,29,Central Midfield,Midfield,right,188.0,DK1,FC Copenhagen
167264,Aaron McEneff,2021,43,Northern Ireland,27,Central Midfield,Midfield,right,175.0,SC1,Heart of Midlothian FC
167291,Gabriel Pires,2020,294,Brazil,29,Central Midfield,Midfield,left,187.0,PO1,SL Benfica
167721,Chimy Ávila,2022,331,Argentina,29,Centre-Forward,Attack,right,172.0,ES1,CA Osasuna
167817,Marco Migliorini,2012,416,Italy,31,Centre-Back,Defender,right,194.0,IT1,Torino FC
167877,Edoardo Blondett,2013,1038,Italy,31,Centre-Back,Defender,right,185.0,IT1,UC Sampdoria
168536,Alhassan Wakaso,2020,2420,Ghana,31,Defensive Midfield,Midfield,right,180.0,PO1,Vitória Guimarães SC
168797,Sven Müller,2017,3,Germany,27,Goalkeeper,Goalkeeper,left,190.0,L1,1.FC Köln
168943,Bojan Nastic,2018,2861,Bosnia-Herzegovina,28,Left-Back,Defender,left,182.0,BE1,KV Oostende
169566,Adam King,2020,1519,Scotland,27,Central Midfield,Midfield,right,180.0,SC1,Dundee United FC
169934,Danny Devine,2017,2760,Northern Ireland,30,Centre-Back,Defender,right,183.0,SC1,Partick Thistle FC
170354,Sergiy Vakulenko,2019,2477,Ukraine,29,Centre-Back,Defender,right,183.0,UKR1,Karpaty Lviv (-2021)
170856,Boban Lazic,2015,1269,Netherlands,29,Left Winger,Attack,right,175.0,NL1,PEC Zwolle
170953,Stéphane Bahoken,2022,10484,France,31,Centre-Forward,Attack,right,185.0,TR1,Kasimpasa
170968,Paul Charruau,2016,595,France,29,Goalkeeper,Goalkeeper,right,187.0,FR1,SC Bastia
170979,Paul Reulet,2018,1162,France,29,Goalkeeper,Goalkeeper,right,181.0,FR1,SM Caen
171068,Hélder Lopes,2021,2441,Portugal,34,Left-Back,Defender,left,179.0,GR1,AEK Athens
172802,Rade Dugalic,2018,3714,Yugoslavia (Republic),30,Centre-Back,Defender,right,194.0,RU1,Enisey Krasnoyarsk
173192,Mikey Devlin,2022,903,Scotland,29,Centre-Back,Defender,right,188.0,SC1,Hibernian FC
174248,Gyliano van Velzen,2017,192,Netherlands,29,Left Winger,Attack,left,186.0,NL1,Roda JC Kerkrade
174859,Fausto Tienza,2019,265,Spain,33,Central Midfield,Midfield,right,183.0,GR1,Panathinaikos Athens
